Start_Layer,End_Layer,latency_ms
3_conv1_bn,94_conv4_block2_1_bn,149365.97
3_conv1_bn,95_conv4_block2_1_relu,149552.55
3_conv1_bn,96_conv4_block2_2_conv,155887.3
3_conv1_bn,97_conv4_block2_2_bn,156073.97
3_conv1_bn,98_conv4_block2_2_relu,156177.86
3_conv1_bn,99_conv4_block2_3_conv,158072.3
3_conv1_bn,100_conv4_block2_3_bn,158819.43
3_conv1_bn,101_conv4_block2_add,159232.27
3_conv1_bn,102_conv4_block2_out,159605.86
3_conv1_bn,103_conv4_block3_1_conv,162361.87
3_conv1_bn,104_conv4_block3_1_bn,162548.32
3_conv1_bn,105_conv4_block3_1_relu,162652.16
3_conv1_bn,106_conv4_block3_2_conv,164540.93
3_conv1_bn,107_conv4_block3_2_bn,164727.79
3_conv1_bn,108_conv4_block3_2_relu,166999.65
3_conv1_bn,109_conv4_block3_3_conv,167206.67
3_conv1_bn,110_conv4_block3_3_bn,167953.69
3_conv1_bn,111_conv4_block3_add,168366.53
3_conv1_bn,112_conv4_block3_out,168781.17
3_conv1_bn,113_conv4_block4_1_conv,175114.8
3_conv1_bn,114_conv4_block4_1_bn,175301.27
3_conv1_bn,115_conv4_block4_1_relu,175405.05
3_conv1_bn,116_conv4_block4_2_conv,181740.08
3_conv1_bn,117_conv4_block4_2_bn,184500.35
3_conv1_bn,118_conv4_block4_2_relu,187260.62
3_conv1_bn,119_conv4_block4_3_conv,189149.39
3_conv1_bn,120_conv4_block4_3_bn,189896.77
3_conv1_bn,121_conv4_block4_add,190309.61
3_conv1_bn,122_conv4_block4_out,190413.44
3_conv1_bn,123_conv4_block5_1_conv,192826.46
3_conv1_bn,124_conv4_block5_1_bn,195586.75
3_conv1_bn,125_conv4_block5_1_relu,195690.79
3_conv1_bn,126_conv4_block5_2_conv,202024.97
3_conv1_bn,127_conv4_block5_2_bn,203517.74
3_conv1_bn,128_conv4_block5_2_relu,205939.05
3_conv1_bn,129_conv4_block5_3_conv,207826.21
3_conv1_bn,130_conv4_block5_3_bn,210832.33
3_conv1_bn,131_conv4_block5_add,211245.17
3_conv1_bn,132_conv4_block5_out,211658.01
3_conv1_bn,133_conv4_block6_1_conv,213694.81
3_conv1_bn,134_conv4_block6_1_bn,213881.02
